host	ip	scheme	status	server	title	content_length
ingress.intersolucoes.svc.nuvem.dc.bb.com.br	170.66.14.91	http	302			0
ingress.svc-outros.nuvem.bb.com.br	170.66.14.91	http	302			0
integracao-educa.bb.com.br	170.66.14.91	http	302			0
internacional.bb.com.br	170.66.17.3	https	302		302 Moved Temporarily	275
ir-pdf-generator.aeb.internet.bb.com.br	170.66.14.11	https	500			325
kodiak-engine.mov.bb.com.br	170.66.196.32	https	404			21
leads.api.web.bb.com.br	170.66.14.11	https	401			40
login.bb.com.br	170.66.14.193	https	302		302 Found	306
login.extranet.bb.com.br	170.66.14.207	https	302		302 Found	328
loginapi.bb.com.br	170.66.14.91	https	200		gcs-login-api	182
logincdg.bb.com.br	170.66.14.93	https	302		302 Found	294
loginweb.bb.com.br	170.66.14.14	https	302		302 Found	301
logonpj.bb.com.br	170.66.14.41	http	302			91
loja.bb.back.ndp.bb.com.br	170.66.14.91	http	302			0
loja.bb.banner.ndp.bb.com.br	170.66.14.91	http	302			0
m.bb.com.br	170.66.11.21	https	302			0
mad.bb.com.br	170.66.14.91	https	200		Modulo de Assinatura Digital - Diagnostico	744
mapa.rcp.bb.com.br	170.66.14.91	http	302			0
merge.bb.com.br	170.66.14.91	http	302			0
merlin.bb.com.br	170.66.14.91	http	302			0
meusuporte.bb.com.br	170.66.14.118	https	301	nginx	301 Moved Permanently	162
mobile-api.bb.com.br	170.66.14.91	http	302			0
mobile.bb.com.br	170.66.17.2	https	302		302 Moved Temporarily	293
mobile.dc.bb.com.br	170.66.17.2	https	302		302 Moved Temporarily	299
mobilecoban2.bb.com.br	170.66.210.24	https	503			62
mobipj2.dc.bb.com.br	170.66.2.146	https	404		Error 404--Not Found	1164
netbol.bb.com.br	170.66.14.174	https	503			62
oauth.sandbox.bb.com.br	170.66.14.91	https	404			63
opendata.api.bb.com.br	170.66.196.134	https	404	openresty		23
operacoes.mov.bb.com.br	170.66.102.9	http	308		308 Permanent Redirect	164
pagaroureceber.bb.com.br	170.66.14.91	http	302			0
painel.bb.com.br	170.66.14.91	http	302			0
pesquisa.bb.com.br	170.66.14.91	http	302			0
pesquisa.suporte.bb.com.br	170.66.14.118	https	200	nginx/1.21.0	BB Survey	23151
plataforma-gam.bb.com.br	170.66.14.211	https	401			188
portal.api.web.bb.com.br	170.66.11.27	https	401			40
